what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1356418682344
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1356418682418
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356418702429
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1356418702445
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356418718244
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1356418720459
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/bysjjl",1356418720460
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356418720521
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1356418720525
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1356418720525
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356418731721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356418745986
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.500.v201104151900,"org.eclipse.jst.j2ee.J2EEPerspective",1356418746025
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356418746037
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1356418746099
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356418747710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356418758166
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1356418760311
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/bysjjl",1356418760312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356418760382
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1356418760388
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1356418760388
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356418764278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356418814384
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356418902015
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356418907086
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1356418929230
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356418932197
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1356418940193
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1356418942011
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1356418942347
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1356418942616
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1356418942684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356418952860
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1356418955440
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/bysjjl",1356418955440
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356418955528
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1356418955532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1356418955532
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356418960460
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356418988446
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356418993480
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1356418998583
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356418999523
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1356418999533
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356419000123
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356419062206
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356419063102
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356419065996
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1356419075446
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356419090463
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356419117304
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1356419126097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356419130717
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356419131887
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1356419131913
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356419150036
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.run",1356419152056
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356419152500
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356419153427
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356419153508
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356419155747
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.stop",1356419159602
