what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356414406350
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356414408890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1356414408920
error,log,,,"Unexpected runtime error while computing a text hover",1356414409325
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356414424901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356414428556
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1356414430036
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1356414430591
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1356414430781
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1356414430951
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356414431596
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356414433131
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.run",1356414434761
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356414435177
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356414436057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356414436099
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356414436099
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356414436234
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356414438470
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1356414528860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356414545480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356414691757
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356414692584
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356414761718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356414768763
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1356414773060
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1356414773779
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356414774801
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1356414776940
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.run",1356414779234
