what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422129623
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422133166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422137179
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356422149377
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356422156998
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422162362
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1356422162515
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1356422162566
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356422163642
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1356422163821
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422165214
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422174469
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356422176749
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1356422181182
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422183005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422183295
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1356422185265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422187787
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422200688
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356422202346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422205144
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356422207423
opened,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1356422208723
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1356422208762
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422208806
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356422210036
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1356422210247
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356422211071
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422212941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422219856
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1356422220773
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356422222036
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1356422223695
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422226100
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422233187
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356422234292
opened,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1356422235178
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1356422235230
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1356422236930
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356422238059
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1356422241185
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1356422241212
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/bysjjl",1356422241212
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1356422241216
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/bysjjl",1356422241217
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1356422241241
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/bysjjl",1356422241241
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1356422241246
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/bysjjl",1356422241246
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1356422241268
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/bysjjl",1356422241268
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1356422241273
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/bysjjl",1356422241274
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1356422241296
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/bysjjl",1356422241297
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1356422241300
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/bysjjl",1356422241301
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1356422241324
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/bysjjl",1356422241324
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1356422241329
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/bysjjl",1356422241329
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1356422241356
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/bysjjl",1356422241357
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1356422241361
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/bysjjl",1356422241362
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356422242537
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1356422242913
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422245260
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422367866
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356422367886
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1356422368881
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422371322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422372318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422373172
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422460223
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1356422462209
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356422463665
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356422467356
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1356422468620
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1356422482431
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1356422491738
executed,command,,,"AUTOGEN:::org.eclipse.core.runtime.xml.source.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1356422510976
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1356422512796
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1356422514423
closed,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1356422514428
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1356422515911
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356422518071
opened,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1356422518407
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1356422518459
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1356422530645
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1356422532285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422533835
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422563190
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356422563206
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.run",1356422567455
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356422568049
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356422569826
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356422571949
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356422573802
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422575992
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356422579432
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.run",1356422581458
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356422581942
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356422582825
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356422582917
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356422585163
